deviceId,total_distance_km,total_hard_brakes,total_hard_accels,total_driving_time_sec,hard_brake_rate_per_1000km,hard_accel_rate_per_1000km,percent_time_high_speed
zRYzhAEAHAABAAAKCRtcAAsAGAB0gBAQ,108738.51396028655,20,65,247940.0,0.18392747216781347,0.5977642845453938,94.007271965887
zRYzhAEAHAABAAAKCRtcAAsANAB0gBAQ,62657.133002190916,8,9,188163.0,0.12767899865000631,0.1436388734812571,0.0
zRYzhAEAHAABAAAKCRtcAAsAtwB1gBAQ,192392.35716191912,60,206,596394.0,0.3118627001877391,1.070728603977904,1.0376468570448505
